"trap" "tubetotal" "occupation" "share_occ" "share_int" "share_unocc_wtint" "length" "spec_num" "bee_num" "oca" "oc" "or" "or_chambers" "or_males_p" "or_females_p" "or_parasite_num" "or_parasite_infested_p" "or_parasite_death_p" "or_unknown_death_p" "or_total_death_p" "or_total_alive_p" "days" "juliandays" "trap_o" "tube_o" "shade" "windprotection" "hang_location" "hang_location_sp" "floor" "flowers_100m" "seminatural_flowers" "exotic_flowers" "treespecies" "treeheight" "rainprotection" "visibility" "distance" "distance_class" "RW" "HW" "dist_forage0" "dist_forage2" "dist_nest0" "dist_nest2" "share_f0_250" "share_f2_250" "share_n0_250" "share_n2_250" "MSI_250" "MPFD_250" "TE_250" "ED_250" "MPS_250" "NumP_250" "share_f0_500" "share_f2_500" "share_n0_500" "share_n2_500" "MSI_500" "MPFD_500" "TE_500" "ED_500" "MPS_500" "NumP_500" "share_f0_750" "share_f2_750" "share_n0_750" "share_n2_750" "MSI_750" "MPFD_750" "TE_750" "ED_750" "MPS_750" "NumP_750" "share_f0_1000" "share_f2_1000" "share_n0_1000" "share_n2_1000" "MSI_1000" "MPFD_1000" "TE_1000" "ED_1000" "MPS_1000" "NumP_1000" "hang_location_sp.t" "juliandays.t" "shade.t" "hang_location.t"
1 29 "unbelegt" 0 55.172413793 55.172413793 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 91 156 "N" "WO" "Vollschatten" "TRUE" "Hinterhof" "Freisthehendes Objekt" 0 "FALSE" "FALSE" "FALSE" NA NA "Beregnet" "Aus weniger als 2 Richtungen" 2793 "Subzentrum" 4528913 5689294 105.7491365 108.9264944 105.7491365 355.0755374 13.44227326 9.028273168 15.26424053 0 1.556041053 1.451972105 8335.81638 0.042476241 10328.7666 19 12.96050486 14.74998082 16.61499706 5.177073407 2.158407222 1.409815 27491.01129 0.03501187 43621.73184 18 11.55916179 19.27446741 16.24135865 3.188132908 1.561721728 4.477503827 57508.15574 0.032548708 21812.76212 81 12.90730948 18.74536558 17.85615214 1.817191268 1.549943158 1.379631429 100560.1028 0.03201351 21812.76212 133 "ClassE" 11 "Fully_shaded" "Backyard_or_park"
2 NA "belegt" NA NA NA 10.14 1 1 0 0 1 32 NA NA 1 53.12 40.62 0 40.62 59.38 90 160 "E" "NS" "Volllicht" "TRUE" "Haus" "Balkon" 2 "TRUE" "TRUE" "TRUE" NA NA "Beregnet" "Aus 2 oder mehr Richtungen" 2340 "Subzentrum" 4524049 5688496 179.1102027 290.6353586 179.1102027 261.500984 8.966867748 0 8.966867748 0 1.946251818 1.692959091 6162.61137 0.031402391 17840.59685 11 19.42909069 4.612849352 25.79900936 9.584498099 2.254696316 1.423534211 29470.97196 0.037533499 41325.85122 19 20.61624678 10.19409809 32.93030061 13.02530778 1.667006933 1.3918356 59614.27175 0.033740737 23557.78309 75 24.94886743 9.058678022 35.25459521 14.48616584 1.689219018 1.386722232 99505.84371 0.031677885 23557.78309 112 "ClassA" 15 "Fully_sunlit" "House"
3 30 "unbelegt" 0 30 30 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 76 160 "S" "WO" "Halbschatten" "TRUE" "Hinterhof" "Baum/Strauch" 0 "TRUE" "FALSE" "TRUE" NA "Normal" "Beregnet" "Aus 2 oder mehr Richtungen" 4324 "Surburban" 4526998 5685324 26.38463652 152.8023511 26.38463652 354.7772786 4.417796632 14.40086303 24.10998725 0 1.454169091 1.536575 8662.91708 0.044143025 8920.298424 22 9.727232765 27.45867948 22.38148961 2.505146563 1.949208462 1.394349231 29966.94243 0.038165154 30199.66051 26 16.12133635 21.10408371 22.93172707 6.493267512 1.515600526 1.377572947 61490.07306 0.034802411 18598.24981 95 20.36113073 18.35210472 26.53065292 9.940982052 1.535963736 1.378542967 114649.3028 0.036498836 18598.24981 182 "ClassB" 15 "Partly_shaded" "Backyard_or_park"
5 35 "belegt" 8.5714285714 37.142857143 28.571428571 9.47 1 1 0 0 1 17 14.29 85.71 1 5.88 5.88 11.76 17.65 82.35 96 161 "N" "WO" "Vollschatten" "TRUE" "Hausgarten" "Holzige Gegenstände" 0 "TRUE" "FALSE" "TRUE" NA NA "Trocken" "Aus weniger als 2 Richtungen" 6119 "Surburban" 4529461 5684426 92.5105591 0 92.5105591 60.55405319 2.841629647 33.0363516 4.398417147 36.21124591 1.388993333 1.413448571 8736.10959 0.044515987 9345.07454 21 3.314544695 25.65848951 6.775091105 44.56798684 1.658385938 1.378685625 25549.73128 0.032539504 24537.22416 32 3.697994668 31.13538453 16.47515252 38.13681201 1.508109892 1.571233763 54876.11433 0.031059014 18998.21217 93 8.56474221 41.15905713 21.07792329 28.28287956 1.504264875 1.42876175 92222.29029 0.029359151 18998.21217 160 "ClassE" 16 "Fully_shaded" "Garden_or_allotment"
6 33 "belegt" 3.0303030303 39.393939394 36.363636364 8.3 1 1 0 0 1 9 77.78 22.22 0 0 0 0 0 100 83 157 NA NA "Volllicht" "FALSE" "Hinterhof" "Dachterrasse" 1 "TRUE" "FALSE" "TRUE" NA NA "Beregnet" "Aus 2 oder mehr Richtungen" 1343 "Subzentrum" 4527472 5689664 259.6556939 363.2888609 139.0129933 1323.289141 0 0 2.959925258 0 1.577726 1.375062 4133.00221 0.021060252 39249.31307 5 13.93540453 1.182244262 16.31703099 0 1.785018571 0.541622857 19401.7807 0.024709627 56085.0838 14 20.42088232 0.931066273 31.77499131 0 1.571847308 1.356474808 48612.82405 0.027514091 33977.57177 52 19.19985796 2.01907717 40.02872982 0 1.575696386 1.294141325 78464.44675 0.024979314 33977.57177 83 NA 12 "Fully_sunlit" "Backyard_or_park"
7 32 "unbelegt" 0 21.875 21.875 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 90 156 NA NA "Halbschatten" "FALSE" "Hausgarten" "Baum/Strauch" 0 "TRUE" "TRUE" "TRUE" NA NA NA NA 30204 "Laendlicher Raum" 4553246 5676251 66.78171386 0 51.80292549 203.6490109 35.09132285 51.97880816 54.48467264 0.794914768 1.51319 1.387804286 7986.1576 0.040694509 14017.61181 14 62.76891577 23.68178843 80.78630504 2.2406613 1.857724211 1.526246842 19525.59932 0.024867319 41325.85122 19 59.6502444 13.2140474 75.38314621 8.557702787 1.484132644 1.409336897 46236.13071 0.02616892 20308.4337 87 55.73978169 14.08851127 73.43452951 11.09855946 1.538057517 1.416189732 88431.7603 0.028152428 20308.4337 149 "ClassB" 11 "Partly_shaded" "Garden_or_allotment"
8 28 "unbelegt" 0 35.714285714 35.714285714 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 91 159 NA NA "Halblicht" "FALSE" "Hinterhof" "Baum/Strauch" 0 "TRUE" "TRUE" "TRUE" "Andere" "Normal" "Beregnet" "Aus weniger als 2 Richtungen" 3510 "Subzentrum" 4526029 5686053 162.9532672 215.9185035 162.9532672 335.454317 12.9879961 0.672093252 15.81760139 0 1.569866923 1.462725385 7770.14455 0.039593786 15095.88964 13 18.15416697 9.689778531 21.84120567 5.921268067 1.9379932 1.4244472 30983.30086 0.039459563 31407.64693 25 23.63310433 8.495197324 23.96357319 18.25147126 1.532964819 1.391959639 59715.48646 0.033798023 21287.1534 83 21.6768685 10.32550384 24.23084922 24.95418683 1.564419932 1.535550272 105238.5774 0.033502912 21287.1534 147 "ClassB" 14 "Partly_shaded" "Backyard_or_park"
9 29 "unbelegt" 0 37.931034483 37.931034483 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 90 160 "W" "NS" "Halbschatten" "FALSE" "Haus" "Balkon" 2 "TRUE" "TRUE" "TRUE" NA NA "Beregnet" "Aus 2 oder mehr Richtungen" 2273 "Subzentrum" 4524096 5688553 195.7891691 217.774974 195.7891691 199.5758673 6.670059921 1.359208201 7.960192376 1.466799672 1.591599231 1.537794615 6205.71624 0.031622037 15095.88964 13 17.51691422 8.328640221 29.31192628 11.75209268 2.195164 1.4186945 29702.34608 0.037828171 39259.55866 20 20.17133009 11.23876933 34.10223518 12.78289955 1.659350361 1.412054337 60275.85591 0.034115183 21287.1534 83 24.84282273 9.410738266 35.91894133 14.30612315 1.693366106 1.383287699 101564.6558 0.032333312 21287.1534 113 "ClassA" 15 "Partly_shaded" "House"
10 NA "belegt" NA NA NA 11.68 1 1 0 0 1 19 NA NA 0 0 0 100 100 0 87 161 "S" "WO" "Volllicht" "FALSE" "Haus" "Fenster" 4 "TRUE" "TRUE" "FALSE" NA NA NA NA 1304 "Subzentrum" 4524873 5689226 7.228720237 41.8363135 7.228720237 413.0036614 52.58050537 13.65790996 53.68062649 0 1.471993846 1.373628462 7457.66813 0.038001522 15095.88964 13 41.43145375 12.76763708 53.08278244 2.65657319 2.057536538 1.554182692 28241.83734 0.035968103 30199.66051 26 32.53740117 15.78038027 52.09976957 7.80412188 1.592688947 1.408249684 64944.82868 0.036757749 18598.24936 95 27.72473547 14.41414217 45.1896166 7.30334328 1.590822734 1.381354101 104825.3104 0.033371348 18598.24936 139 "ClassD" 16 "Fully_sunlit" "House"
11 31 "unbelegt" 0 32.258064516 32.258064516 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 96 160 NA NA "Vollschatten" "FALSE" "Hausgarten" "Baum/Strauch" 0 "TRUE" "TRUE" "TRUE" "Apfel/Birne" "Hoch (>2m)" "Beregnet" "Verdeckt" 4625 "Surburban" 4529714 5686634 19.65588416 0 19.65588416 490.6231079 16.4958732 60.98890981 16.4958732 0 1.35593 1.447788 5069.75494 0.025833598 19624.65653 10 22.87791955 43.94278662 23.76924488 0.013968256 1.7732956 1.4381736 23256.76068 0.029619233 31407.64693 25 27.28919924 31.87539146 29.36095485 2.750269792 1.502657662 1.389599351 51759.15179 0.029294863 22945.89262 77 27.46072752 24.99587326 29.64278367 2.246927872 1.506652164 1.341508433 87828.27952 0.027960309 22945.89262 134 "ClassB" 15 "Fully_shaded" "Garden_or_allotment"
13 30 "belegt" 16.666666667 56.666666667 40 9.67 1 1 0 0 1 30 40.91 59.09 1 53.33 23.33 0 23.33 76.67 86 161 "N" "WO" "Halbschatten" "FALSE" "Haus" "Balkon" 5 "TRUE" "FALSE" "TRUE" NA NA "Trocken" "Aus weniger als 2 Richtungen" 2401 "Subzentrum" 4524188 5688154 63.04090347 334.8603319 63.04090347 114.8838879 26.79683404 0 27.23566982 19.35339914 1.618893 1.368957 7268.48834 0.037037531 19624.65653 10 21.32932583 2.206364295 25.87972131 24.15256774 2.047890588 1.401681765 23623.18093 0.030085898 46187.71545 17 19.86605234 5.528895615 27.13016729 25.57431675 1.640744648 1.46294 53247.56645 0.030137282 24884.98217 71 23.33265828 9.75085922 31.94977632 21.22109011 1.684682149 1.407498843 96096.047 0.030592369 24884.98217 121 "ClassA" 16 "Partly_shaded" "House"
14 29 "unbelegt" 0 51.724137931 51.724137931 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 93 159 NA "NS" "Halblicht" "TRUE" "Hausgarten" "Baum/Strauch" 0 "TRUE" "TRUE" "TRUE" "andere Rosaceae" "Normal" "Beregnet" "Aus 2 oder mehr Richtungen" 6077 "Surburban" 4526154 5683484 80.74694916 201.1922029 106.3912207 207.0471405 3.393239224 1.035994294 7.085580199 3.11836112 1.568146 1.425434 5120.76762 0.02609354 19624.65653 10 10.27166241 7.579488508 17.31572167 7.177763487 2.132192414 1.433586552 28030.76068 0.035699281 27075.5577 29 11.44375708 15.31937067 20.902602 14.7040674 1.625818469 1.612220102 62219.45014 0.035215226 18028.91571 98 18.13196862 18.80738407 27.84087524 19.03234297 1.601469581 1.383788922 111551.3297 0.03551259 18028.91571 167 "ClassB" 14 "Partly_shaded" "Garden_or_allotment"
15 29 "belegt" 44.827586207 51.724137931 6.8965517241 9.24 3 2 1 0 1 82 NA NA 1 25.61 17.07 14.63 31.71 68.29 89 153 NA NA "Halblicht" "FALSE" "Kleingarten" NA 0 "TRUE" "TRUE" "TRUE" NA NA NA NA 6841 "Surburban" 4520190 5686172 178.8223671 0 178.8223671 872.2080139 7.66130111 91.46194752 7.66130111 0 1.590748333 1.457178333 3348.3195 0.017061807 32707.74552 6 23.36545801 60.00652444 26.32109716 0 2.035266154 2.505526923 15972.14597 0.020341729 60399.32101 13 37.04438651 40.50133406 40.55821669 0 1.802942121 1.391250606 34536.41287 0.019547064 53540.41612 33 41.53738787 33.68368814 44.26148264 0.108379336 1.837317797 1.39859339 61738.79603 0.01965467 53540.41612 59 NA 8 "Partly_shaded" "Garden_or_allotment"
17 32 "unbelegt" 0 40.625 40.625 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 94 158 NA NA "Vollschatten" "FALSE" "Hausgarten" "Baum/Strauch" 0 "TRUE" "TRUE" "TRUE" "andere Rosaceae" "Hoch (>2m)" "Beregnet" "Aus 2 oder mehr Richtungen" 10568 "Laendlicher Raum" 4536062 5693181 64.96433845 0 64.96433845 278.9363832 31.52743389 68.47256611 31.61228936 0 1.403941667 1.393551667 3588.3467 0.018284889 32707.76089 6 35.44708154 63.94279582 44.83916084 1.995426708 1.660155385 1.370490769 15544.89734 0.019797596 60399.32101 13 50.90959381 45.12830568 60.30296707 3.261990818 1.534589487 1.506336667 31164.98791 0.017638891 45303.42903 39 58.67167582 35.55561961 67.26538737 5.704155674 1.477297667 1.366566667 50996.1341 0.016234722 45303.42903 60 "ClassB" 13 "Fully_shaded" "Garden_or_allotment"
18 28 "belegt" 42.857142857 60.714285714 21.428571429 9.6 2 1 0 0 1 93 NA NA 1 31.18 19.35 4.3 23.66 76.34 92 160 "S" "WO" "Volllicht" "FALSE" "Haus" "Balkon" 1 "TRUE" "TRUE" "TRUE" NA NA "Trocken" "Aus 2 oder mehr Richtungen" 2434 "Subzentrum" 4525608 5687184 45.87795841 377.990091 45.87795841 10.87632909 12.24430991 0 11.43885349 28.76226495 1.386877692 1.362926154 7009.8977 0.035719849 15095.88964 13 17.139539 3.520248591 16.82534754 24.57184099 1.994095417 1.411017083 26816.8063 0.034153219 32716.29888 24 20.60600359 12.04646546 26.02763546 19.87651322 1.593163093 1.396058866 60958.6928 0.034501658 18214.78074 97 20.2899907 11.20173702 25.90311224 24.64217648 1.609334745 1.388196569 98032.22357 0.031208755 18214.78074 137 "ClassA" 15 "Fully_sunlit" "House"
19 30 "unbelegt" 0 43.333333333 43.333333333 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 93 159 NA "NS" "Halbschatten" "FALSE" "Hinterhof" "Zaun undefiniert" 0 "TRUE" "FALSE" "TRUE" NA NA NA NA 6077 "Surburban" 4526154 5683484 81.16393768 200.7409743 106.8735303 206.597658 3.410835421 1.045250406 7.09814752 3.172062191 1.506718182 1.44696 5128.82337 0.026134589 17840.59685 11 10.28280481 7.559101734 17.33443297 7.197295736 2.132817586 1.43346931 28039.93459 0.035710965 27075.5577 29 11.44566828 15.31535199 20.92273067 14.70537817 1.625506735 1.460670918 62233.06686 0.035222934 18028.91553 98 18.14835535 18.79635451 27.85925381 19.02750206 1.601477066 1.383291497 111569.809 0.035518472 18028.91553 167 "ClassE" 14 "Partly_shaded" "Backyard_or_park"
20 28 "unbelegt" 0 32.142857143 32.142857143 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 92 160 NA "WO" "Halbschatten" "FALSE" "Kleingarten" "Baum/Strauch" 0 "TRUE" "TRUE" "TRUE" "andere Rosaceae" "Normal" "Beregnet" "Aus 2 oder mehr Richtungen" 5667 "Surburban" 4531498 5691387 226.3923738 0 60.13911684 71.84099608 0.299090055 47.32879877 15.50392087 5.137330622 1.257362222 1.386076667 6909.33635 0.035207426 10902.58696 18 6.00671362 25.22804422 15.03473312 1.283997507 1.800202917 1.433392917 24192.51653 0.03081099 32716.29825 24 14.46086602 18.75721981 22.61520826 1.219943375 1.565741573 1.535370787 53636.62579 0.030357483 19852.06441 89 19.50195114 18.11767036 26.42353099 1.703363333 1.596604891 1.394672628 94264.60636 0.030009327 19852.06441 137 "ClassB" 15 "Partly_shaded" "Garden_or_allotment"
22 32 "unbelegt" 0 25 25 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 84 152 "S" "WO" "Volllicht" "FALSE" "Hausgarten" "Baum/Strauch" 0 "TRUE" "TRUE" "TRUE" NA "Normal" NA NA 11834 "Laendlicher Raum" 4537961 5689928 88.3304817 0 52.9998794 198.8633773 22.87579945 50.15866506 35.05815914 1.391259523 1.610658421 1.473943158 9330.46357 0.047544596 10328.7666 19 32.18398634 34.7543853 49.30659437 3.808797866 1.894550385 1.400816154 28057.39346 0.0357332 30199.66051 26 40.46050178 33.06237131 50.69672829 2.656841132 1.563041216 1.402825 51056.24048 0.028897026 23876.13151 74 42.68462669 36.0926921 51.56941591 2.01389436 1.517184576 1.549302034 81672.73482 0.026000679 23876.13151 118 "ClassB" 7 "Fully_sunlit" "Garden_or_allotment"
24 NA "belegt" NA NA NA 14.7 1 1 0 0 1 3 0 100 1 33.33 33.33 0 33.33 66.67 91 162 NA "NS" "Halbschatten" "FALSE" "Hausgarten" "Schuppenwand" 1 "TRUE" "TRUE" "TRUE" NA NA "Trocken" "Aus weniger als 2 Richtungen" 9004 "Laendlicher Raum" 4521623 5681768 162.4307309 54.05484511 87.7458746 202.580572 6.938690162 46.03598293 23.27133627 3.480866328 1.4938415 1.3982235 8882.4645 0.045261758 9812.328267 20 13.98633317 48.58573668 32.07237521 6.764870242 1.829072759 1.432611724 27267.25392 0.034726898 27075.5577 29 15.12878889 40.17555596 36.89087988 8.176491281 1.488830286 1.387091524 61666.87283 0.034902477 16826.98792 105 19.83743255 36.41751114 41.69360298 10.06330526 1.550361576 1.392434667 104314.1923 0.033208632 16826.98792 165 "ClassC" 17 "Partly_shaded" "Garden_or_allotment"
26 32 "belegt" 9.375 9.375 3.125 9.94 1 1 0 0 1 24 NA NA 1 33.33 33.33 66.67 100 0 96 163 "S" "WO" "Halblicht" "FALSE" "Haus" "Balkon" 1 "TRUE" "FALSE" "TRUE" NA NA "Beregnet" "Aus allen Richtungen (frei hängend)" 3320 "Subzentrum" 4525339 5692785 223.137475 224.298619 22.13026 900.260725 2.552272455 1.278705185 8.873344719 0 1.842456471 1.514324118 8364.44342 0.042622114 11543.91561 17 17.73753156 11.31008988 8.732813823 0 1.614235476 1.096623095 29725.80667 0.03785805 18695.02793 42 24.50195557 16.19052637 31.08962041 0 1.639343108 1.300704189 57551.53428 0.03257326 23876.13151 74 23.63021361 1.269893283 28.10574541 0.232830382 1.63617955 1.378547297 94252.43756 0.030005453 23876.13151 111 "ClassA" 18 "Partly_shaded" "House"
28 30 "unbelegt" 0 40 40 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 91 155 "E" "NS" "Halbschatten" "FALSE" "Hinterhof" "Baum/Strauch" 0 "TRUE" "TRUE" "TRUE" "andere Rosaceae" "Hoch (>2m)" "Beregnet" "Aus 2 oder mehr Richtungen" 4378 "Surburban" 4526957 5685261 81.84662778 136.778971 56.41210176 294.3855405 4.17325325 21.93823688 21.71309355 0 1.410618947 1.411854211 8077.04279 0.041157626 10328.7666 19 12.54934894 23.40896326 25.67531677 4.625505269 1.887834643 1.416556429 29428.86975 0.037479878 28042.5419 28 17.61507646 18.68574163 24.4150739 8.239627185 1.586800198 1.230110594 61417.37412 0.034761264 17493.40329 101 19.87119038 18.16120953 26.26261648 11.95278713 1.522769794 1.193517784 116235.8977 0.037003931 17493.40329 194 "ClassB" 10 "Partly_shaded" "Backyard_or_park"
30 30 "belegt" 23.333333333 33.333333333 13.333333333 9.65 2 1 0 0 1 42 NA NA 1 7.14 0 23.81 23.81 76.19 64 164 "S" "WO" "Halbschatten" "FALSE" "Haus" "Balkon" 2 "TRUE" "TRUE" "TRUE" NA NA "Beregnet" "Aus weniger als 2 Richtungen" 2841 "Subzentrum" 4526373 5686730 3.804272512 159.0632567 3.804272512 773.5859319 36.09296466 4.07098998 33.91551728 0 1.656303077 1.403583846 8195.33309 0.04176039 15095.88964 13 25.34694268 10.70734785 26.22667862 0 2.032487333 1.391640667 25043.64799 0.031894969 52346.07821 15 26.68194303 9.600085336 29.28847501 0 1.558472933 1.394526133 54449.45665 0.030817533 23557.78309 75 27.08318944 9.965143623 31.74984314 3.473734883 1.566518175 1.407307299 101235.7866 0.032228616 23557.78309 137 "ClassA" 19 "Partly_shaded" "House"
31 NA "belegt" NA NA NA 10.16 2 1 0 0 1 13 53.85 46.15 1 23.08 0 0 0 100 93 157 NA "WO" "Halbschatten" "FALSE" "Kleingarten" "Baum/Strauch" 0 "TRUE" "TRUE" "TRUE" "andere Rosaceae" NA NA NA 5917 "Surburban" 4531674 5691638 114.3700688 0 83.98378617 130.6893309 2.834107587 48.32967608 21.07700468 1.685473622 1.530851176 1.425804706 7413.9418 0.037778709 11543.91561 17 11.40768252 22.19903746 25.64261431 1.283997482 1.951656667 1.383462381 26629.25236 0.033914355 37390.05586 21 13.27425447 15.0069596 19.3334027 1.998037254 1.608974222 1.422928444 55416.94463 0.031365116 19631.48591 90 20.44784831 15.02051148 25.89286603 2.283161143 1.603839933 0.812708792 96598.40829 0.030752297 19631.48591 149 "ClassB" 12 "Partly_shaded" "Garden_or_allotment"
35 33 "unbelegt" 0 33.333333333 33.333333333 NA NA NA 0 0 0 NA NA NA NA NA NA NA NA NA 91 159 "S" "WO" "Halblicht" "FALSE" "Hinterhof" "Baum/Strauch" 0 "TRUE" "TRUE" "FALSE" "Andere" "Hoch (>2m)" "Beregnet" "Aus allen Richtungen (frei hängend)" 1127 "Subzentrum" 4527258 5689630 89.16086517 492.2305453 89.16086517 1463.014992 7.492477251 0 7.492477251 0 1.4253475 1.3585875 3865.07995 0.01969502 49061.64133 4 17.75229676 0.010268689 18.60021096 0 1.918225 1.42509 19578.02397 0.024934086 56085.0838 14 24.12814517 0.788501534 36.49388894 0 1.548134423 1.362434231 46706.74283 0.026435279 33977.57177 52 22.20646507 1.980053833 42.62652596 0 1.539689524 1.398760833 76463.0353 0.024342161 33977.57177 84 "ClassB" 14 "Partly_shaded" "Backyard_or_park"
